iter	Passed	Remaining
0	0	52
1	1	49
2	1	45
3	1	42
4	2	41
5	2	41
6	3	40
7	3	40
8	3	40
9	4	39
10	4	39
11	5	39
12	5	38
13	6	38
14	6	37
15	7	37
16	7	36
17	8	36
18	8	35
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	12	31
29	13	30
30	13	30
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	16	27
37	16	26
38	16	26
39	17	26
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	23
46	20	23
47	21	22
48	21	22
49	22	22
50	22	21
51	23	21
52	23	20
53	24	20
54	24	19
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	15
66	29	14
67	29	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	33	11
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	38	5
88	39	4
89	39	4
90	40	3
91	40	3
92	41	3
93	41	2
94	41	2
95	42	1
96	42	1
97	43	0
98	43	0
99	43	0
